Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_004_fix
Tier: 3 | Type: Staged | Stages: 7 | Map: surf_commune_again_beta5
Tier: 4 | Type: Staged | Stages: 7 | Map: surf_commune_too_beta5
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_compact
Tier: 3 | Type: Staged | Stages: 4 | Map: surf_compulsive_njv
Tier: 2 | Type: Staged | Stages: 9 | Map: surf_concreteideas
Tier: 4 | Type: Staged | Stages: 3 | Map: surf_construction
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_cookiejar
Tier: 2 | Type: Linear | Checkpoints: 2 | Map: surf_coralis_ksf
Tier: 4 | Type: Staged | Stages: 4 | Map: surf_cordelia
Tier: 5 | Type: Staged | Stages: 6 | Map: surf_core_fix
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_creation
Tier: 5 | Type: Linear | Checkpoints: 2 | Map: surf_crush
Tier: 3 | Type: Staged | Stages: 6 | Map: surf_crystal
Tier: 1 | Type: Staged | Stages: 3 | Map: surf_crzyfrog_reloaded
Tier: 3 | Type: Staged | Stages: 28 | Map: surf_cubic
Tier: 4 | Type: Linear | Checkpoints: 3 | Map: surf_curious
Tier: 2 | Type: Staged | Stages: 2 | Map: surf_cyberwave
Tier: 5 | Type: Linear | Checkpoints: 4 | Map: surf_damn
Tier: 2 | Type: Linear | Checkpoints: 2 | Map: surf_dank
Tier: 5 | Type: Staged | Stages: 5 | Map: surf_death_of_a_martian
Tier: 1 | Type: Staged | Stages: 6 | Map: surf_deathstar
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_deceptive_final
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_delight_go
Tier: 5 | Type: Staged | Stages: 5 | Map: surf_delta
Tier: 2 | Type: Staged | Stages: 8 | Map: surf_delusional
Tier: 1 | Type: Staged | Stages: 7 | Map: surf_deoa
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_deprecation
Tier: 3 | Type: Staged | Stages: 12 | Map: surf_depressing
Tier: 4 | Type: Linear | Checkpoints: 5 | Map: surf_depths
Tier: 1 | Type: Staged | Stages: 6 | Map: surf_derpis_ksf
Tier: 3 | Type: Linear | Checkpoints: 2 | Map: surf_destiny_fixed
Tier: 6 | Type: Staged | Stages: 4 | Map: surf_devil
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_dhyana
Tier: 3 | Type: Linear | Checkpoints: 2 | Map: surf_diminsion
Tier: 5 | Type: Linear | Checkpoints: 3 | Map: surf_dionysus
Tier: 6 | Type: Linear | Checkpoints: 6 | Map: surf_disaster
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_discovery
Tier: 5 | Type: Staged | Stages: 7 | Map: surf_disneyland_fix
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_distraction_v2
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_diverge
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_divided
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_domain
Tier: 2 | Type: Staged | Stages: 9 | Map: surf_doodles_njv
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_dragon
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_duggywuggy
Tier: 3 | Type: Staged | Stages: 6 | Map: surf_dusk
Tier: 4 | Type: Linear | Checkpoints: 4 | Map: surf_dynamics_fixed
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_dynasty
Tier: 2 | Type: Staged | Stages: 3 | Map: surf_eclipse
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_ecosystem
Tier: 5 | Type: Linear | Checkpoints: 5 | Map: surf_edge
Tier: 4 | Type: Linear | Checkpoints: 3 | Map: surf_efficacy
Tier: 2 | Type: Linear | Checkpoints: 4 | Map: surf_eggplant
Tier: 1 | Type: Linear | Checkpoints: 2 | Map: surf_egypt2
Tier: 2 | Type: Staged | Stages: 6 | Map: surf_elements_beta3
Tier: 1 | Type: Linear | Checkpoints: 2 | Map: surf_elites_v2_fix
Tier: 5 | Type: Staged | Stages: 4 | Map: surf_elysium2
Tier: 5 | Type: Staged | Stages: 4 | Map: surf_elysium3
Tier: 5 | Type: Staged | Stages: 4 | Map: surf_elysium4
Tier: 5 | Type: Staged | Stages: 5 | Map: surf_elysium
Tier: 4 | Type: Staged | Stages: 6 | Map: surf_ember2
Tier: 5 | Type: Staged | Stages: 5 | Map: surf_entropy_hardmode
Tier: 5 | Type: Linear | Checkpoints: 3 | Map: surf_eon
Tier: 3 | Type: Staged | Stages: 7 | Map: surf_epic
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_epicube_ksf
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_epithet
Tier: 5 | Type: Staged | Stages: 4 | Map: surf_eryr2
Tier: 4 | Type: Staged | Stages: 4 | Map: surf_eryr
Tier: 4 | Type: Staged | Stages: 2 | Map: surf_eternal_beta
Tier: 2 | Type: Staged | Stages: 3 | Map: surf_ethereal
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_eunoia
Tier: 4 | Type: Staged | Stages: 2 | Map: surf_euphoria
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_execute
Tier: 6 | Type: Staged | Stages: 5 | Map: surf_exile_njv
Tier: 2 | Type: Staged | Stages: 5 | Map: surf_exocube
Tier: 5 | Type: Staged | Stages: 5 | Map: surf_exocube_h
Tier: 3 | Type: Linear | Checkpoints: 2 | Map: surf_exogenesis
Tier: 5 | Type: Staged | Stages: 5 | Map: surf_extremex2_5
Tier: 3 | Type: Staged | Stages: 8 | Map: surf_extremex
Tier: 2 | Type: Staged | Stages: 5 | Map: surf_exurbia_v2
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_exxak
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_ezclap
Tier: 4 | Type: Linear | Checkpoints: 3 | Map: surf_facility
Tier: 2 | Type: Linear | Checkpoints: 2 | Map: surf_faint_fix
Tier: 3 | Type: Staged | Stages: 4 | Map: surf_fast
Tier: 4 | Type: Staged | Stages: 6 | Map: surf_finesse_final
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_flatliners
Tier: 2 | Type: Linear | Checkpoints: 4 | Map: surf_flow
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_forbidden_swag
Tier: 4 | Type: Staged | Stages: 8 | Map: surf_forbidden_tomb2
Tier: 4 | Type: Staged | Stages: 8 | Map: surf_forbidden_tomb3
Tier: 1 | Type: Linear | Checkpoints: 4 | Map: surf_forbidden_ways_ksf
Tier: 1 | Type: Linear | Checkpoints: 3 | Map: surf_forgotten
Tier: 2 | Type: Staged | Stages: 5 | Map: surf_fortum
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_frequency_njv
Tier: 3 | Type: Staged | Stages: 6 | Map: surf_friday
Tier: 1 | Type: Linear | Checkpoints: 3 | Map: surf_frost
Tier: 2 | Type: Staged | Stages: 2 | Map: surf_fruits
Tier: 1 | Type: Staged | Stages: 10 | Map: surf_garden_go
Tier: 5 | Type: Staged | Stages: 10 | Map: surf_garden_h_go
Tier: 4 | Type: Staged | Stages: 4 | Map: surf_gekar
Tier: 5 | Type: Staged | Stages: 6 | Map: surf_germania
Tier: 4 | Type: Staged | Stages: 6 | Map: surf_glass5
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_glass7
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_glass9
Tier: 2 | Type: Linear | Checkpoints: 2 | Map: surf_gleam
Tier: 2 | Type: Staged | Stages: 3 | Map: surf_globalchaos
Tier: 4 | Type: Staged | Stages: 8 | Map: surf_goat_fix
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_gold1
Tier: 4 | Type: Linear | Checkpoints: 4 | Map: surf_goldarn
Tier: 2 | Type: Linear | Checkpoints: 6 | Map: surf_golden_fix
Tier: 6 | Type: Staged | Stages: 4 | Map: surf_goliath
Tier: 2 | Type: Linear | Checkpoints: 2 | Map: surf_graphia
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_grassland
Tier: 4 | Type: Linear | Checkpoints: 3 | Map: surf_greenhouse
Tier: 5 | Type: Staged | Stages: 9 | Map: surf_grid
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_guitar_hi
Tier: 6 | Type: Staged | Stages: 6 | Map: surf_hades2
Tier: 6 | Type: Staged | Stages: 7 | Map: surf_hades
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_halloween
Tier: 2 | Type: Linear | Checkpoints: 6 | Map: surf_halloween_tf
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_happyhands2
Tier: 3 | Type: Linear | Checkpoints: 4 | Map: surf_happyhands3
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_happyhands4
Tier: 3 | Type: Staged | Stages: 10 | Map: surf_healthy
Tier: 3 | Type: Staged | Stages: 6 | Map: surf_heaven_njv
Tier: 5 | Type: Staged | Stages: 4 | Map: surf_hero
Tier: 5 | Type: Staged | Stages: 5 | Map: surf_highlands
Tier: 3 | Type: Linear | Checkpoints: 2 | Map: surf_hob
Tier: 5 | Type: Linear | Checkpoints: 2 | Map: surf_hollow
Tier: 5 | Type: Staged | Stages: 3 | Map: surf_hope
Tier: 1 | Type: Linear | Checkpoints: 2 | Map: surf_horizon_njv
Tier: 1 | Type: Staged | Stages: 21 | Map: surf_how2surf
Tier: 2 | Type: Linear | Checkpoints: 1 | Map: surf_hurrr
Tier: 3 | Type: Linear | Checkpoints: 2 | Map: surf_iceworld
Tier: 4 | Type: Staged | Stages: 6 | Map: surf_illumination2
Tier: 3 | Type: Linear | Checkpoints: 4 | Map: surf_illumination
Tier: 3 | Type: Staged | Stages: 7 | Map: surf_imagine_fix
Tier: 2 | Type: Staged | Stages: 5 | Map: surf_imex
Tier: 3 | Type: Linear | Checkpoints: 4 | Map: surf_industries
Tier: 5 | Type: Staged | Stages: 5 | Map: surf_infamous_ksf
Tier: 2 | Type: Linear | Checkpoints: 5 | Map: surf_ing
Tier: 4 | Type: Staged | Stages: 7 | Map: surf_injection_njv
Tier: 5 | Type: Staged | Stages: 5 | Map: surf_innokia
Tier: 4 | Type: Linear | Checkpoints: 3 | Map: surf_inrage2
Tier: 3 | Type: Linear | Checkpoints: 2 | Map: surf_inrage
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_insideout_final
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_insignia_b1
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_inspire
Tier: 4 | Type: Staged | Stages: 4 | Map: surf_intense
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_interceptor
Tier: 2 | Type: Linear | Checkpoints: 4 | Map: surf_island
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_ivory
Tier: 4 | Type: Staged | Stages: 6 | Map: surf_ixtab
Tier: 5 | Type: Staged | Stages: 4 | Map: surf_izded
Tier: 3 | Type: Linear | Checkpoints: 4 | Map: surf_jaqen2
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_jaqen
Tier: 2 | Type: Staged | Stages: 5 | Map: surf_jenocide
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_journeys_final
Tier: 4 | Type: Linear | Checkpoints: 2 | Map: surf_junglespic_ksf
Tier: 6 | Type: Linear | Checkpoints: 3 | Map: surf_jusched
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_juturna
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_kaboom
Tier: 5 | Type: Linear | Checkpoints: 6 | Map: surf_kairo
Tier: 5 | Type: Linear | Checkpoints: 4 | Map: surf_kalium2
Tier: 3 | Type: Staged | Stages: 4 | Map: surf_kawaii
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_kinetic
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_klue
Tier: 4 | Type: Linear | Checkpoints: 3 | Map: surf_koa
Tier: 2 | Type: Linear | Checkpoints: 2 | Map: surf_krow10
Tier: 3 | Type: Staged | Stages: 16 | Map: surf_kz_protraining
Tier: 4 | Type: Linear | Checkpoints: 5 | Map: surf_lab
Tier: 1 | Type: Linear | Checkpoints: 3 | Map: surf_lament_n2p
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_lavaflow
Tier: 1 | Type: Linear | Checkpoints: 1 | Map: surf_leet_xl_beta7z_
Tier: 5 | Type: Staged | Stages: 7 | Map: surf_legendary
Tier: 1 | Type: Linear | Checkpoints: 2 | Map: surf_legends
Tier: 4 | Type: Staged | Stages: 7 | Map: surf_lepidus
Tier: 2 | Type: Staged | Stages: 7 | Map: surf_lessons
Tier: 3 | Type: Staged | Stages: 7 | Map: surf_liberation2
Tier: 3 | Type: Staged | Stages: 7 | Map: surf_liberation
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_life_of_cow
Tier: 5 | Type: Linear | Checkpoints: 3 | Map: surf_loentra
Tier: 6 | Type: Staged | Stages: 5 | Map: surf_looksmodern
Tier: 2 | Type: Staged | Stages: 7 | Map: surf_lore_e
Tier: 3 | Type: Staged | Stages: 4 | Map: surf_lost2
Tier: 3 | Type: Staged | Stages: 4 | Map: surf_lost
Tier: 4 | Type: Staged | Stages: 7 | Map: surf_loves_spliff
Tier: 3 | Type: Staged | Stages: 3 | Map: surf_low_production
Tier: 4 | Type: Staged | Stages: 6 | Map: surf_lt_unicorn_official
Tier: 1 | Type: Linear | Checkpoints: 2 | Map: surf_lullaby_ksf
Tier: 1 | Type: Linear | Checkpoints: 3 | Map: surf_lux
Tier: 6 | Type: Linear | Checkpoints: 5 | Map: surf_map_h
Tier: 5 | Type: Linear | Checkpoints: 4 | Map: surf_map_njv
Tier: 6 | Type: Linear | Checkpoints: 3 | Map: surf_marah
Tier: 2 | Type: Staged | Stages: 5 | Map: surf_marbleblast_e
Tier: 3 | Type: Staged | Stages: 20 | Map: surf_mash-up
Tier: 5 | Type: Linear | Checkpoints: 2 | Map: surf_mdrn
Tier: 2 | Type: Staged | Stages: 5 | Map: surf_me
Tier: 2 | Type: Linear | Checkpoints: 2 | Map: surf_mellow
Tier: 3 | Type: Staged | Stages: 9 | Map: surf_meme
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_memories
Tier: 4 | Type: Staged | Stages: 6 | Map: surf_mephobia
Tier: 2 | Type: Linear | Checkpoints: 4 | Map: surf_mesa_mine
Tier: 5 | Type: Staged | Stages: 5 | Map: surf_metallic
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_methadone
Tier: 4 | Type: Linear | Checkpoints: 4 | Map: surf_milkyway
Tier: 1 | Type: Staged | Stages: 10 | Map: surf_minecraft_2016_final
Tier: 5 | Type: Linear | Checkpoints: 2 | Map: surf_minecraft
Tier: 3 | Type: Staged | Stages: 6 | Map: surf_minimumwage
Tier: 3 | Type: Staged | Stages: 4 | Map: surf_miracle
Tier: 5 | Type: Staged | Stages: 7 | Map: surf_misc
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_mjk
Tier: 1 | Type: Staged | Stages: 6 | Map: surf_mom_fix
Tier: 5 | Type: Linear | Checkpoints: 4 | Map: surf_monolith
Tier: 4 | Type: Linear | Checkpoints: 4 | Map: surf_motion1_easy
Tier: 4 | Type: Linear | Checkpoints: 4 | Map: surf_mudkip_fix
Tier: 4 | Type: Linear | Checkpoints: 4 | Map: surf_mushroom_ksf
Tier: 3 | Type: Staged | Stages: 4 | Map: surf_mynah_final
Tier: 3 | Type: Staged | Stages: 4 | Map: surf_nac
Tier: 2 | Type: Linear | Checkpoints: 4 | Map: surf_nebula
Tier: 4 | Type: Linear | Checkpoints: 3 | Map: surf_nemesis
Tier: 2 | Type: Staged | Stages: 4 | Map: surf_neon_final
Tier: 2 | Type: Linear | Checkpoints: 2 | Map: surf_neo_njv
Tier: 4 | Type: Staged | Stages: 6 | Map: surf_neoplasma_ksf
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_neoteric
Tier: 1 | Type: Linear | Checkpoints: 2 | Map: surf_network2008_final
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_network_2009_sh
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_network_2013
Tier: 5 | Type: Staged | Stages: 6 | Map: surf_nightmare
Tier: 4 | Type: Linear | Checkpoints: 2 | Map: surf_nikolo
Tier: 1 | Type: Linear | Checkpoints: 4 | Map: surf_ninja_sh
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_noble
Tier: 2 | Type: Staged | Stages: 7 | Map: surf_not_so_beginner
Tier: 2 | Type: Linear | Checkpoints: 4 | Map: surf_not_so_disaster
Tier: 4 | Type: Staged | Stages: 4 | Map: surf_not_so_quick
Tier: 2 | Type: Staged | Stages: 5 | Map: surf_not_so_sinister
Tier: 6 | Type: Linear | Checkpoints: 5 | Map: surf_not_so_zen_fix
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_numbers2
Tier: 5 | Type: Staged | Stages: 9 | Map: surf_numbers
Tier: 1 | Type: Linear | Checkpoints: 1 | Map: surf_ny_momentum_v3_1
Tier: 2 | Type: Staged | Stages: 6 | Map: surf_ny_platinum
Tier: 5 | Type: Staged | Stages: 5 | Map: surf_nyze
Tier: 2 | Type: Staged | Stages: 10 | Map: surf_oasis
Tier: 3 | Type: Staged | Stages: 3 | Map: surf_occur
Tier: 3 | Type: Staged | Stages: 7 | Map: surf_olympics
Tier: 2 | Type: Staged | Stages: 3 | Map: surf_oma
Tier: 4 | Type: Linear | Checkpoints: 3 | Map: surf_oompa2
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_oompa_loompa
Tier: 4 | Type: Staged | Stages: 6 | Map: surf_orbion
Tier: 3 | Type: Linear | Checkpoints: 6 | Map: surf_ori_l
Tier: 2 | Type: Staged | Stages: 16 | Map: surf_orthodox_fix
Tier: 5 | Type: Linear | Checkpoints: 3 | Map: surf_our
Tier: 5 | Type: Staged | Stages: 5 | Map: surf_overgrowth2
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_overgrowth
Tier: 2 | Type: Staged | Stages: 4 | Map: surf_paddy
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_pagoda
Tier: 2 | Type: Linear | Checkpoints: 4 | Map: surf_palm
Tier: 4 | Type: Linear | Checkpoints: 3 | Map: surf_pancake
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_pandemonium_njv
Tier: 1 | Type: Linear | Checkpoints: 3 | Map: surf_pantheon
Tier: 3 | Type: Linear | Checkpoints: 2 | Map: surf_papertown
Tier: 3 | Type: Staged | Stages: 6 | Map: surf_parc_colore
Tier: 4 | Type: Linear | Checkpoints: 3 | Map: surf_parrot_selector_h
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_pathfinder
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_perforated_restored
Tier: 2 | Type: Linear | Checkpoints: 2 | Map: surf_physics
Tier: 2 | Type: Staged | Stages: 4 | Map: surf_pinkbash
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_pinkcubes_fix
Tier: 4 | Type: Linear | Checkpoints: 4 | Map: surf_placid
Tier: 3 | Type: Staged | Stages: 6 | Map: surf_plaguelands_beta7a
Tier: 3 | Type: Linear | Checkpoints: 2 | Map: surf_plethora_fix
Tier: 4 | Type: Staged | Stages: 4 | Map: surf_polygon
Tier: 3 | Type: Linear | Checkpoints: 4 | Map: surf_porn_fix
Tier: 1 | Type: Linear | Checkpoints: 2 | Map: surf_pox
Tier: 1 | Type: Linear | Checkpoints: 3 | Map: surf_prelude_ksf
Tier: 2 | Type: Staged | Stages: 6 | Map: surf_presmon_fix
Tier: 5 | Type: Linear | Checkpoints: 3 | Map: surf_primero_njv
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_proliferation
Tier: 4 | Type: Staged | Stages: 7 | Map: surf_prosperity_v2
Tier: 3 | Type: Staged | Stages: 6 | Map: surf_proximity_final
Tier: 3 | Type: Staged | Stages: 6 | Map: surf_purgatory
Tier: 3 | Type: Linear | Checkpoints: 2 | Map: surf_quantum_njv
Tier: 4 | Type: Linear | Checkpoints: 3 | Map: surf_quartus_ksf
Tier: 3 | Type: Linear | Checkpoints: 4 | Map: surf_queen_of_the_ween
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_quickie
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_quilavar
Tier: 4 | Type: Staged | Stages: 6 | Map: surf_ragequit
Tier: 2 | Type: Linear | Checkpoints: 4 | Map: surf_rainbow
Tier: 4 | Type: Staged | Stages: 8 | Map: surf_rands
Tier: 3 | Type: Staged | Stages: 4 | Map: surf_razer_final
Tier: 1 | Type: Linear | Checkpoints: 2 | Map: surf_rebel_resistance_njv
Tier: 1 | Type: Linear | Checkpoints: 2 | Map: surf_rebel_scaz_njv
Tier: 2 | Type: Linear | Checkpoints: 4 | Map: surf_reflex
Tier: 3 | Type: Staged | Stages: 8 | Map: surf_refraxis
Tier: 1 | Type: Linear | Checkpoints: 3 | Map: surf_reprise
Tier: 3 | Type: Linear | Checkpoints: 4 | Map: surf_resort
Tier: 4 | Type: Staged | Stages: 4 | Map: surf_resource
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_retroartz
Tier: 1 | Type: Staged | Stages: 7 | Map: surf_reytx
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_rez2
